material_id,formula,utility_tier,predicted_latent_bandgap_eV,stage1_score,energy_above_hull,is_dark_matter
mp-1209229,RbHoBeF6,Tier 2 (Exotic),7.4006963,7.400696277618408,0.0,True
mp-1220948,NaPrF4,Tier 2 (Exotic),7.008854,7.008853912353516,0.0,True
mp-1185301,LiF,Tier 1 (Standard),7.5493636,6.996624386503054,0.024405554999999,True
mp-640562,KYb3F10,Tier 2 (Exotic),6.9413805,6.941380500793457,0.0,True
mp-1220915,NaSmF4,Tier 2 (Exotic),6.835549,6.8355488777160645,0.0,True
mp-1206981,BaYb2F8,Tier 2 (Exotic),6.6113276,6.611327648162842,0.0,True
mp-1208619,SrLiGaF6,Tier 1 (Standard),6.394299,6.394299030303955,0.0,True
mp-1196923,Li2TbF6,Tier 2 (Exotic),6.357351,6.063042249686406,0.015431405555554,True
mp-989568,Cs2NaMgF6,Tier 1 (Standard),5.9898567,5.989856719970703,0.0,True
mp-22072,YbF3,Tier 2 (Exotic),5.974185,5.974184989929199,0.0,True
mp-1205802,Rb2NaYbF6,Tier 2 (Exotic),5.9663863,5.966386318206787,0.0,True
mp-1227394,Be2BH3O5,Tier 1 (Standard),5.809689,5.808071318552447,9.281772727298693e-05,True
mp-989572,Cs2NaCaF6,Tier 1 (Standard),5.909048,5.73362688212046,0.009895626500001,True
mp-505089,Li4TbF8,Tier 2 (Exotic),5.9424896,5.7278759815764735,0.012038368653847,True
mp-1220684,NaYbF4,Tier 2 (Exotic),5.7208548,5.720854759216309,0.0,True
mp-1213968,CaMgPO4F,Tier 1 (Standard),5.735632,5.703257220944278,0.001881496937501,True
mp-530217,PrZr3F15,Tier 2 (Exotic),5.782828,5.651579463128169,0.007565409999999,True
mp-1182442,BO2F3,Tier 1 (Standard),5.4884086,5.48840856552124,0.0,True
mp-989574,Cs2NaSrF6,Tier 1 (Standard),5.803987,5.381081093135937,0.0242882425,True
mp-4179,YbPO4,Tier 2 (Exotic),5.292996,5.292995929718018,0.0,True
mp-1211100,LiB3H8,Tier 1 (Standard),5.67733,5.192642961855779,0.028457452932691,True
mp-1199626,Sr3Al2P(O2F5)2,Tier 1 (Standard),5.7817206,5.16374928954756,0.035627880083344,True
mp-5364,YbBO3,Tier 2 (Exotic),5.154686,5.154685974121094,0.0,True
mp-1203903,Cs4Sr3(PO3)12,Tier 1 (Standard),5.030675,5.030674934387207,0.0,True
mp-27187,Be2TlF5,Tier 1 (Standard),4.98277,4.982769966125488,0.0,True
mp-561480,NaNiF3,Tier 1 (Standard),4.9719057,4.971905708312988,0.0,True
mp-567172,Cs2NaYbCl6,Tier 2 (Exotic),4.891602,4.891602039337158,0.0,True
mp-546292,YbClO,Tier 2 (Exotic),4.8798137,4.8798136711120605,0.0,True
mp-1206442,Cs2KYbCl6,Tier 2 (Exotic),4.8731246,4.873124599456787,0.0,True
mp-1213746,Cs2YbCl5,Tier 2 (Exotic),4.859178,4.859178066253662,0.0,True
mp-1223512,KMg3AlSi3(O5F)2,Tier 1 (Standard),4.811133,4.811132907867432,0.0,True
mp-1223564,KMg3AlSi3(HO6)2,Tier 1 (Standard),4.699141,4.699141025543213,0.0,True
mp-1209118,RbYb(WO4)2,Tier 3 (Refractory),4.694923,4.694922924041748,0.0,True
mp-560976,KNiF3,Tier 1 (Standard),4.6475797,4.647579669952393,0.0,True
mp-1188713,BaMg(CO3)2,Tier 1 (Standard),4.7191157,4.617570632298311,0.007172608000002,True
mp-1205808,Rb2LiYbCl6,Tier 2 (Exotic),4.592599,4.592598915100098,0.0,True
mp-4300,Yb2Si2O7,Tier 2 (Exotic),4.585003,4.585002899169922,0.0,True
mp-1223547,KMg3GaSi3(HO6)2,Tier 1 (Standard),4.5742307,4.574230670928955,0.0,True
mp-622591,BaTbF6,Tier 2 (Exotic),4.892556,4.5508813579398515,0.023278549374998,True
mp-728486,Ca9Mg(PO4)7,Tier 1 (Standard),4.658208,4.541069629487144,0.008382212399116,True
mp-1227900,BaLiMg2AlSi3(O5F)2,Tier 1 (Standard),4.7143545,4.490519179919569,0.015826509895846,True
mp-1224221,K7Be12(PO4)12,Tier 1 (Standard),4.756352,4.485496792983275,0.018981995569617,True
mp-556324,NiF2,Tier 1 (Standard),4.464553,4.454332803464245,0.000763053333333,True
mp-1227120,CaH2CO4,Tier 1 (Standard),4.8262296,4.437922019532252,0.026819248645836,True
mp-561000,Cs4KLiFe2F12,Tier 1 (Standard),4.409614,4.409614086151123,0.0,True
mp-560058,Li9Ga3P8O29,Tier 1 (Standard),4.5295773,4.358852847299753,0.012563674880949,True
mp-1211975,K2B(PO4)2,Tier 1 (Standard),4.6317096,4.325653033321243,0.022026175384617,True
mp-1211338,KTm(CO3)2,Tier 2 (Exotic),4.279688,4.279687881469727,0.0,True
mp-1207345,Cs2PrF6,Tier 2 (Exotic),4.618681,4.260595823361204,0.025843246458332,True
mp-2745558,Na3P6N11,Tier 1 (Standard),4.2527328,4.252732753753662,0.0,True
mp-1214181,Ca2Nd3Si3O13,Tier 2 (Exotic),4.3526416,4.239334490191838,0.008677266448419,True
mp-1025400,YbCl3,Tier 2 (Exotic),4.2138433,4.21384334564209,0.0,True
mp-989585,Cs2KPbF6,Tier 1 (Standard),4.2126155,4.212615489959717,0.0,True
mp-1176675,LiLuO2,Tier 2 (Exotic),4.2357,4.21048632859498,0.001984229375,True
mp-1212938,Dy5B3O13,Tier 2 (Exotic),4.606907,4.185473499807418,0.030492866547618,True
mp-1133317,Na3Zr2Si2PO12,Tier 1 (Standard),4.23836,4.16355922923093,0.005882833624999,True
mp-1210262,Na4Ca4Be4AlSi7(O6F)4,Tier 1 (Standard),4.3765984,4.161849907969765,0.016355811264885,True
mp-1215572,YbSc(BO3)2,Tier 2 (Exotic),4.1362276,4.136227607727051,0.0,True
mp-531110,Ca9PrF20,Tier 2 (Exotic),4.8547416,4.130943757006005,0.049696968444447,True
mp-1211019,Na3Mg5Si8(HO12)2,Tier 1 (Standard),4.2181087,4.103827801200531,0.009030971160713,True
mp-989525,Cs2RbPbF6,Tier 1 (Standard),4.0832906,4.0832905769348145,0.0,True
mp-601693,YbBrO,Tier 2 (Exotic),4.0700355,4.070035457611084,0.0,True
mp-1215763,Zn3P6N12Cl,Tier 1 (Standard),4.0635576,4.0635576248168945,0.0,True
mp-989569,Rb2NaPbF6,Tier 1 (Standard),4.0311418,4.031141757965088,0.0,True
mp-1228998,Al2Ga(PO4)3,Tier 1 (Standard),4.2669005,4.026556414805238,0.018775855555553,True
mp-1203797,Nd13(B2O13)2,Tier 2 (Exotic),4.045588,4.0204095839847955,0.002074558953479,True
mp-632348,YbHO2,Tier 2 (Exotic),4.044064,4.0196842001266795,0.002009516874998,True
mp-559737,Rb2Tb3AlF16,Tier 2 (Exotic),4.517162,3.998038523327561,0.038307484545451,True
mp-1210869,LiGaPO4F,Tier 1 (Standard),4.488533,3.9882767601443025,0.037150687291669,True
mp-695112,Na3Zr2Si2PO12,Tier 1 (Standard),4.112887,3.987331615391804,0.010175763249999,True
mp-1224621,La20Al3Si9O52,Tier 2 (Exotic),4.1550593,3.984086443101787,0.013716041145819,True
mp-989556,Cs2NaPbF6,Tier 1 (Standard),3.981801,3.9818010330200195,0.0,True
mp-1215736,Yb4Zr3O12,Tier 2 (Exotic),3.9684544,3.968454360961914,0.0,True
mp-1197483,Zn5P6(H3O5)6,Tier 1 (Standard),4.521147,3.954786762961771,0.041756368432204,True
mp-29788,KTb3F12,Tier 2 (Exotic),4.4358335,3.939049354313378,0.037331135546875,True
mp-1209689,Pr5Si3O13,Tier 2 (Exotic),4.136255,3.935395964952051,0.016186851214831,True
mp-707454,Li(H3N)4,Tier 1 (Standard),4.2826424,3.9210994023578287,0.028140178529412,True
mp-1214419,BaCa2Mg(SiO4)2,Tier 1 (Standard),4.372351,3.9113441844206585,0.035145620535717,True
mp-629015,BN,Tier 1 (Standard),3.9134226,3.8929308276898507,0.001745425000001,True
mp-1199870,Ca2Y3Si3O13,Tier 1 (Standard),4.1613946,3.882512938537068,0.022338797817456,True
mp-732235,Ca2Y3Si3O13,Tier 1 (Standard),4.1588607,3.8803123124970997,0.022325695436503,True
mp-557470,K2Sb2S(O2F3)2,Tier 1 (Standard),3.8735454,3.8735454082489014,0.0,True
mp-559663,SrLiNiF6,Tier 1 (Standard),3.8476217,3.8476216793060303,0.0,True
mp-13774,NaNdSiO4,Tier 2 (Exotic),3.8445559,3.8445558547973633,0.0,True
mp-626413,Yb(HO)3,Tier 2 (Exotic),3.935734,3.8408252931042766,0.008038207500002,True
mp-13041,Yb2C(NO)2,Tier 2 (Exotic),3.817235,3.817234992980957,0.0,True
mp-559584,LiCaNiF6,Tier 1 (Standard),3.8116012,3.811601161956787,0.0,True
mp-1206530,ZrNiF6,Tier 1 (Standard),3.8092008,3.8092007637023926,0.0,True
mp-752924,NaYbO2,Tier 2 (Exotic),3.80807,3.808069944381714,0.0,True
mp-555296,YbTaO4,Tier 3 (Refractory),3.8034463,3.8034462928771973,0.0,True
mp-1214135,Ca2TaInO6,Tier 3 (Refractory),3.7785954,3.7734223812804317,0.000456348250002,True
mp-1323665,Ca2Y3Si3O13,Tier 1 (Standard),4.088642,3.771033863059887,0.025893540198408,True
mp-625103,YbHO2,Tier 2 (Exotic),3.7707336,3.770733594894409,0.0,True
mp-1194078,CsNiF3,Tier 1 (Standard),4.114625,3.7614625636697117,0.028610336333333,True
mp-667209,Na3Ca2TaO6,Tier 3 (Refractory),3.9202278,3.7593734213665972,0.013677295833332,True
mp-755010,KYbO2,Tier 2 (Exotic),3.7525434,3.7525434494018555,0.0,True
mp-1211487,K2YbF5,Tier 2 (Exotic),3.7384918,3.7384917736053467,0.0,True
mp-18909,BaNi2(PO4)2,Tier 1 (Standard),3.734885,3.7348849773406982,0.0,True
mp-4377,K2TbF6,Tier 2 (Exotic),3.9065459,3.710364372836536,0.016739553796294,True
mp-1222626,Li2MgZrO4,Tier 1 (Standard),3.898633,3.709736843881982,0.016150631874997,True
mp-1213565,K10Gd22F79,Tier 2 (Exotic),3.689172,3.6891720294952393,0.0,True
mp-1214227,Ca2La3Si3O13,Tier 2 (Exotic),4.0607085,3.682407129699059,0.03105380838293,True
mp-8614,K3NdSi2O7,Tier 2 (Exotic),3.6757183,3.675718307495117,0.0,True
mp-19072,Si(NiO2)2,Tier 1 (Standard),3.6573324,3.657332420349121,0.0,True
mp-756878,NaYbO2,Tier 2 (Exotic),3.785863,3.6416882001639053,0.012694131249997,True
mp-1212004,LiNiBP2H6O11,Tier 1 (Standard),3.789612,3.638092834488477,0.013327592916663,True
mp-8573,BaTbF6,Tier 2 (Exotic),4.127752,3.6244907597374834,0.040640449374998,True
mp-1215567,YbLuSO2,Tier 2 (Exotic),3.589126,3.585068929620003,0.000376802999994,True
mp-1185277,K8Li31Al8O32,Tier 1 (Standard),3.750775,3.582088494840298,0.014991266206488,True
mp-8390,LiYbO2,Tier 2 (Exotic),3.581656,3.581655979156494,0.0,True
mp-738389,Rb4Li(SO4)4,Tier 1 (Standard),4.17126,3.5729261041918132,0.047813993300001,True
mp-1196118,Cs5(SO4)4,Tier 1 (Standard),3.645304,3.571751816436026,0.006725744399993,True
mp-557533,Cs2TlVF6,Tier 1 (Standard),3.5513656,3.551365613937378,0.0,True
mp-760060,Sb(SO4)2,Tier 1 (Standard),3.6351671,3.5416306833527447,0.0085769957197,True
mp-12672,Yb2SO2,Tier 2 (Exotic),3.5337057,3.533705711364746,0.0,True
mp-1220815,NaHf2TiF11,Tier 1 (Standard),3.6065507,3.5253633198855043,0.007503695407407,True
mp-7127,Ba2YbTaO6,Tier 3 (Refractory),3.5064845,3.5064845085144043,0.0,True
mp-1198634,YbP3(HO)6,Tier 2 (Exotic),3.9774232,3.505819724841716,0.039523366727115,True
mp-696588,PH3,Tier 1 (Standard),3.8409967,3.503387491532078,0.029298753541667,True
mp-759116,YbAlO3,Tier 2 (Exotic),3.9566655,3.4913851627255323,0.039198019249999,True
mp-556360,ZrCoF6,Tier 1 (Standard),3.4864082,3.486408233642578,0.0,True
mp-1208778,Sr2SmBeO5,Tier 2 (Exotic),3.6524925,3.480253763835382,0.015718832939813,True
mp-606680,CsLi2Br3,Tier 1 (Standard),3.6398132,3.472534977977175,0.015319303333331,True
mp-1212741,EuAl3(BO3)4,Tier 2 (Exotic),3.5321627,3.47175701519819,0.005700535038451,True
mp-1208818,Sr2LaBeO5,Tier 2 (Exotic),3.544839,3.448579012134722,0.009051647175926,True
mp-560023,NiSnF6,Tier 1 (Standard),3.441797,3.4417970180511475,0.0,True
mp-1207619,Yb2MgTiO6,Tier 2 (Exotic),3.4402797,3.440279722213745,0.0,True
mp-1209342,Rb5Tm3Br12,Tier 2 (Exotic),3.7116385,3.4394917790847552,0.024440838833333,True
mp-1208779,Sr2NdBeO5,Tier 2 (Exotic),3.5195045,3.437656589362713,0.007751844675924,True
mp-1209291,Rb3YbV2O8,Tier 2 (Exotic),3.4256418,3.4256417751312256,0.0,True
mp-1214401,Ca2ZnAs2(H2O5)2,Tier 1 (Standard),3.4178095,3.39931022088951,0.001804202913525,True
mp-18799,YbVO4,Tier 2 (Exotic),3.3932855,3.3932855129241943,0.0,True
mp-1211428,KMg2(PO4)2,Tier 1 (Standard),3.9332848,3.3920432419717472,0.04586849165866,True
mp-1019788,K4Al3(SiO4)3,Tier 1 (Standard),3.5116472,3.3812238809919117,0.012380072664775,True
mp-1196229,La13(B2O13)2,Tier 2 (Exotic),3.362444,3.3624439239501953,0.0,True
mp-7479,RbYbO2,Tier 2 (Exotic),3.3568833,3.3568832874298096,0.0,True
mp-1223721,La12Ga23WO56,Tier 3 (Refractory),3.5307646,3.356446608958643,0.016457055960149,True
mp-774483,Zr2(PO4)3,Tier 1 (Standard),3.4983509,3.3559118322663126,0.013572016470588,True
mp-5466,YbNbO4,Tier 3 (Refractory),3.3529196,3.352919578552246,0.0,True
mp-755505,Li2NbOF5,Tier 3 (Refractory),3.4391038,3.352215065204923,0.008421649027777,True
mp-1225326,EuYAl6(BO3)8,Tier 2 (Exotic),3.3572068,3.3240367172811984,0.00329342276925,True
mp-19147,NiCO3,Tier 1 (Standard),3.3168402,3.316840171813965,0.0,True
mp-1209712,Pr5Ge3O13,Tier 2 (Exotic),3.3150542,3.315054178237915,0.0,True
mp-1209812,P3(PbO3)4,Tier 1 (Standard),3.3346474,3.3110654636071937,0.002357266052635,True
mp-643570,NiH2SO5,Tier 1 (Standard),3.3090565,3.309056520462036,0.0,True
mp-774561,Zr2(PO4)3,Tier 1 (Standard),3.4558487,3.308401679122565,0.014221978235292,True
mp-1199460,BCl,Tier 1 (Standard),3.4255977,3.3083110627516046,0.011412763194443,True
mp-1209002,Sr2P3Pb3O13,Tier 1 (Standard),3.4820652,3.303938997257005,0.017051777539705,True
mp-1221340,Na4Al3Si7(HO3)8,Tier 1 (Standard),3.8726563,3.3029455815388356,0.049037035824269,True
mp-1185517,Mg(AlH4)2,Tier 1 (Standard),3.851557,3.3025097310223677,0.047517344545453,True
mp-674423,Sr20Ta8O39,Tier 3 (Refractory),3.5424445,3.2836745976511685,0.024349463792042,True
mp-766504,Te2(PO4)3,Tier 1 (Standard),3.2793531,3.279353141784668,0.0,True
mp-569387,Cs2Lu7CCl18,Tier 2 (Exotic),3.2697508,3.2697508335113525,0.0,True
mp-1209352,Rb5Dy3Br12,Tier 2 (Exotic),3.400049,3.2687870211664807,0.012868633277779,True
mp-1196866,Na3Fe(SO4)3,Tier 1 (Standard),3.2654853,3.2654852867126465,0.0,True
mp-1224150,K3Mg4(Si2O7)2,Tier 1 (Standard),3.8121977,3.2537376108945524,0.048830982411111,True
mp-640345,Cs2MnFe(CN)6,Tier 1 (Standard),3.4028335,3.2523475027567006,0.014741240468747,True
mp-1228312,Ba5Ca2Ta3O15,Tier 3 (Refractory),3.462171,3.249640536408037,0.020462164400003,True
mp-1113849,Rb2TlVF6,Tier 1 (Standard),3.3182464,3.2344656303821844,0.008416165750006,True
mp-1207509,YbSF,Tier 2 (Exotic),3.2341316,3.2341315746307373,0.0,True
mp-542090,Na4Al3(SiO4)3,Tier 1 (Standard),3.4725955,3.2265462597128063,0.023618183849429,True
mp-1048803,Al2NiO4,Tier 1 (Standard),3.4512274,3.2213811082098105,0.022199475714286,True
mp-1215761,YbTi2O5F,Tier 2 (Exotic),3.220877,3.220876932144165,0.0,True
mp-1215802,YbTaTiO6,Tier 3 (Refractory),3.217671,3.2176709175109863,0.0,True
mp-558895,Cs2KVF6,Tier 1 (Standard),3.213575,3.2135748863220215,0.0,True
mp-22671,Pr7O12,Tier 2 (Exotic),3.577346,3.2088101841726395,0.034339786480261,True
mp-560645,Ca2NbInO6,Tier 3 (Refractory),3.2651877,3.201555126155292,0.006496064875,True
mp-1222118,Mg5Al7O16,Tier 1 (Standard),3.5533834,3.2010132877959734,0.033054887678567,True
mp-1177332,Li4MnFe3(BO3)4,Tier 1 (Standard),3.2096157,3.190131589810018,0.002023515104164,True
mp-734428,Rb2Ta2P7O24,Tier 3 (Refractory),3.2061455,3.181146291820792,0.002599095285713,True
mp-1214039,Ca3Pr2Sb3O14,Tier 2 (Exotic),3.1808248,3.1808247566223145,0.0,True
mp-1214112,Ca2YBeO5,Tier 1 (Standard),3.5973234,3.173197284737433,0.03930015770833,True
mp-26015,LiCo(PO3)3,Tier 1 (Standard),3.1693401,3.169340133666992,0.0,True
mp-1213714,Cs2FeF5,Tier 1 (Standard),3.1637495,3.1637494564056396,0.0,True
mp-555102,Ni(BO2)2,Tier 1 (Standard),3.2157512,3.162091201158581,0.005562201706351,True
mp-1176632,LiMnF3,Tier 1 (Standard),3.6422172,3.161130904813382,0.044028699499997,True
mp-8261,Ba3Yb4O9,Tier 2 (Exotic),3.1607788,3.160778760910034,0.0,True
mp-1019731,EuAl3(BO3)4,Tier 2 (Exotic),3.201575,3.147632988017598,0.005616199538451,True
mp-1391106,CaVF6,Tier 1 (Standard),3.1432722,3.1432721614837646,0.0,True
mp-1192408,KCo(PO3)3,Tier 1 (Standard),3.13158,3.131580114364624,0.0,True
mp-19751,Ba2YbNbO6,Tier 3 (Refractory),3.126769,3.1267690658569336,0.0,True
mp-1649964,K3CoPCO7,Tier 1 (Standard),3.194706,3.124696819097309,0.007304703974359,True
mp-1214104,Ca2PrBeO5,Tier 2 (Exotic),3.5652366,3.1240596886717764,0.04124802298611,True
mp-2814,Yb2O3,Tier 2 (Exotic),3.1178484,3.1178483963012695,0.0,True
mp-1214040,Ca3Nd2Sb3O14,Tier 2 (Exotic),3.1609864,3.117755801161449,0.004558769166664,True
mp-778158,Li8Mn3Fe5(BO3)8,Tier 1 (Standard),3.1473944,3.115157798405516,0.003414106614582,True
mp-729974,P3(PbO5)2,Tier 1 (Standard),3.5204582,3.1131125319634325,0.038569381583326,True
mp-989544,Cs2SeClF6,Tier 1 (Standard),3.1075969,3.1075968742370605,0.0,True
mp-1228685,B8O,Tier 1 (Standard),3.3260393,3.105899441253498,0.022062264074073,True
mp-1214424,BaNa3(PO4)2,Tier 1 (Standard),3.4230583,3.1049415298586722,0.030977829017846,True
mp-997590,La8MgAl7O24,Tier 2 (Exotic),3.3507388,3.1014279731956025,0.024801574437491,True
mp-765688,LaAl12O19,Tier 2 (Exotic),3.4039216,3.09796940233319,0.029960756778271,True
mp-760698,Yb2TiO5,Tier 2 (Exotic),3.3078852,3.096802390145095,0.021270667812501,True
mp-18806,Ni3(BO3)2,Tier 1 (Standard),3.0953715,3.0953714847564697,0.0,True
mp-1206532,Tl2NiF4,Tier 1 (Standard),3.0800493,3.0800492763519287,0.0,True
mp-1383723,MgBiF6,Tier 1 (Standard),3.228436,3.079607670603787,0.015366400625,True
mp-756936,Sr3Li4La5O12,Tier 2 (Exotic),3.446308,3.0715084531824917,0.036251301927083,True
mp-989559,Cs2NaLiF6,Tier 1 (Standard),3.0700262,3.070026159286499,0.0,True
mp-1205639,Ba2YbPaO6,Tier 4 (Extreme),3.0686102,3.068610191345215,0.0,True
mp-766253,La2Th11O26,Tier 4 (Extreme),3.159714,3.064046514491041,0.010092418653842,True
mp-14294,Ba2YbSbO6,Tier 2 (Exotic),3.0605903,3.0605902671813965,0.0,True
mp-1388114,CaCrF4,Tier 1 (Standard),3.0436535,3.0436534881591797,0.0,True
mp-557002,Pr9O16,Tier 2 (Exotic),3.5466747,3.032337624711728,0.048339843474998,True
mp-1223621,KAlSi3Ni3(HO6)2,Tier 1 (Standard),3.029253,3.0292530059814453,0.0,True
mp-558765,Li2Ni(WO4)2,Tier 3 (Refractory),3.0438166,3.028997449326735,0.001622865769224,True
mp-724857,Na2LaSiO5,Tier 2 (Exotic),3.455508,3.027055701468498,0.041330371975312,True
mp-1200471,CsV3B2P4(H4O11)2,Tier 1 (Standard),3.0080082,3.0080082416534424,0.0,True
mp-532094,Al2CoO4,Tier 1 (Standard),2.9981399,2.9981398582458496,0.0,True
mp-1215594,YbGd3F12,Tier 2 (Exotic),2.9758644,2.9758644104003906,0.0,True
mp-1202293,Ba3Ge2B7H3O20,Tier 1 (Standard),3.4112701,2.971575604330733,0.042964889813192,True
mp-1199363,Ba3AlO4,Tier 1 (Standard),2.9694169,2.969416856765747,0.0,True
mp-753108,Yb2TiO5,Tier 2 (Exotic),3.1940956,2.968914377323321,0.0234997384375,True
mp-881150,Yb2TiO5,Tier 2 (Exotic),3.1974828,2.960501861425456,0.0247049503125,True
mp-1211502,La5B3O13,Tier 2 (Exotic),3.4189355,2.9593459398644253,0.044808254153439,True
mp-726118,NF2,Tier 1 (Standard),2.9589791,2.9589791297912598,0.0,True
mp-1224232,La12Ga23MoO56,Tier 3 (Refractory),3.111977,2.958655308933926,0.016422763460143,True
mp-1209962,NaVH8(NF3)2,Tier 1 (Standard),3.225129,2.9577645283505896,0.027633454861109,True
mp-1247909,Ba10Pr5Sn2(SbO10)3,Tier 2 (Exotic),3.1849022,2.947670066322956,0.024828823681248,True
mp-676264,YTh9O20,Tier 4 (Extreme),3.126871,2.9461397797242608,0.019266472562495,True
mp-1209915,Pr11O20,Tier 2 (Exotic),3.4497828,2.9442889995400403,0.048843059697578,True
mp-676564,NdTh9O20,Tier 4 (Extreme),3.0178642,2.9419079601750893,0.008389627166662,True
mp-1208154,Tl2VF6,Tier 1 (Standard),2.9405692,2.9405691623687744,0.0,True
mp-561500,Cs2NaVF6,Tier 1 (Standard),2.9379563,2.9379563331604004,0.0,True
mp-756428,LaTh4O10,Tier 4 (Extreme),3.0664299,2.9361411778299433,0.01416290625,True
mp-755592,K2TbO3,Tier 2 (Exotic),2.9377506,2.9271831301414317,0.001199040729167,True
mp-541806,Rb4Nb11O30,Tier 3 (Refractory),2.922822,2.9228219985961914,0.0,True
mp-2764339,Er(ReO4)2,Tier 3 (Refractory),2.9185944,2.9185943603515625,0.0,True
mp-776406,TePO5,Tier 1 (Standard),3.0214696,2.90877919374373,0.012432184166677,True
mp-1177369,Li4Mn3Fe(BO3)4,Tier 1 (Standard),2.965794,2.898873954103289,0.007521328229159,True
mp-1185942,MgS,Tier 1 (Standard),3.1336432,2.8988138787317586,0.024979367500001,True
mp-1222124,Mg3ZnO4,Tier 1 (Standard),3.2314544,2.897288597257604,0.03447011125,True
mp-18515,NaGdSiO4,Tier 2 (Exotic),2.8960516,2.8960516452789307,0.0,True
mp-766823,Li7Ti11O24,Tier 1 (Standard),2.8935297,2.8935296535491943,0.0,True
mp-756170,Sr3LiTa4(O6F)2,Tier 3 (Refractory),3.265335,2.8926937464628186,0.038040132387857,True
mp-1218601,Sr3CaNi2(WO6)2,Tier 3 (Refractory),2.9686415,2.8920847448277915,0.00859616249999,True
mp-1218123,Ta6Al8O27F,Tier 3 (Refractory),3.4012818,2.8916276587988725,0.049947264960309,True
mp-1206320,RbScCl3,Tier 1 (Standard),2.8907688,2.8907687664031982,0.0,True
mp-1232343,Sr3LaTaAl3O12,Tier 3 (Refractory),3.2045875,2.887088076821748,0.033025507625001,True
mp-768142,Li13Nb14ZnO42,Tier 3 (Refractory),2.9941857,2.885432048036411,0.012107202589282,True
mp-1190493,NiH5CN(ClO)2,Tier 1 (Standard),3.0037692,2.878650106188865,0.0138846725,True
mp-676985,YbPaO4,Tier 4 (Extreme),2.8754454,2.8754453659057617,0.0,True
mp-21590,Na6Fe2C4SO16,Tier 1 (Standard),2.8751135,2.8751134872436523,0.0,True
mp-532650,Ca4Mn3B3CO15,Tier 1 (Standard),2.8736873,2.873687267303467,0.0,True
mp-752473,SmTh4O10,Tier 4 (Extreme),3.0601375,2.8729209211049977,0.020393047541661,True
mp-1208010,V3(PbO3)4,Tier 1 (Standard),2.9182007,2.8673051268650616,0.005813582763162,True
mp-560071,KRb2CoF6,Tier 1 (Standard),2.8672295,2.867229461669922,0.0,True
mp-18204,Ba5Yb8Zn4O21,Tier 2 (Exotic),2.8634043,2.8634042739868164,0.0,True
mp-1104255,Sb2F13,Tier 1 (Standard),2.862851,2.8628509044647217,0.0,True
mp-31516,Co(ReO4)2,Tier 3 (Refractory),2.8585474,2.8585474491119385,0.0,True
mp-1228223,Ba5La3(GaO4)4,Tier 2 (Exotic),3.1755605,2.8523998040046217,0.0339216413393,True
mp-1446092,MgVF6,Tier 1 (Standard),3.0269313,2.8504973239931166,0.019429354374989,True
mp-1208881,Sr2CaSbO6,Tier 1 (Standard),2.8502781,2.85027813911438,0.0,True
mp-1046160,Ta2Zn2CoO8,Tier 3 (Refractory),3.065852,2.844006653209904,0.024120024807697,True
mp-559563,Rb2NaCoF6,Tier 1 (Standard),2.8437464,2.8437464237213135,0.0,True
mp-557228,Rb2Mo(IO3)6,Tier 3 (Refractory),2.842123,2.842123031616211,0.0,True
mp-24051,ErHCl,Tier 2 (Exotic),2.8400395,2.8400394916534424,0.0,True
mp-1214026,Ca3La2Sb3O14,Tier 2 (Exotic),2.884447,2.8398146816554273,0.005157824545447,True
mp-1223097,Li2HN,Tier 1 (Standard),2.9084303,2.8335252605656276,0.008584822812499,True
mp-1221952,MgTi2NiO6,Tier 1 (Standard),2.8325264,2.832526445388794,0.0,True
mp-21580,EuSnF7,Tier 2 (Exotic),2.8269393,2.826939344406128,0.0,True
mp-1113704,Rb2LiTiF6,Tier 1 (Standard),2.8228326,2.8228325843811035,0.0,True
mp-1215463,YbPaO4,Tier 4 (Extreme),2.823987,2.822277506606335,0.000201783333334,True
mp-1213730,Cs2MgZr(PO4)3,Tier 1 (Standard),3.0904408,2.816155524434751,0.029584261907894,True
mp-1019552,Ca16(SiN2)17,Tier 1 (Standard),3.0294554,2.8113228168669275,0.024001300124385,True
mp-766081,P4WO12,Tier 3 (Refractory),3.079242,2.8105656355643447,0.029084685588236,True
mp-1232342,Sr3LaTaAl3O12,Tier 3 (Refractory),3.243333,2.805733061011642,0.044974313625001,True
mp-554222,ZrCoF6,Tier 1 (Standard),2.9813204,2.800884663096787,0.020174027499999,True
mp-758764,Li3Ni2P2(O4F)2,Tier 1 (Standard),3.0720448,2.795591695132736,0.029996649117649,True
mp-1009657,CaN2,Tier 1 (Standard),2.792797,2.792797088623047,0.0,True
mp-766393,Li7Ti11O24,Tier 1 (Standard),2.7958992,2.7915949878311648,0.000513152142884,True
mp-550479,Co(ReO4)2,Tier 3 (Refractory),2.7907283,2.7896481589156306,0.000129019090907,True
mp-1220281,P3Pb5O13,Tier 1 (Standard),3.1972532,2.7870498768240166,0.042766224761909,True
mp-32308,Ta2NiO6,Tier 3 (Refractory),2.7831783,2.7831783294677734,0.0,True
mp-17775,Co2Si(P2O7)2,Tier 1 (Standard),2.7803903,2.7803902626037598,0.0,True
mp-1102819,Ba3Yb2TeO5,Tier 2 (Exotic),2.7793987,2.7793986797332764,0.0,True
mp-768114,Li6Ti9O20,Tier 1 (Standard),2.8095372,2.778538390563795,0.003677804071449,True
