material_id,formula,utility_tier,predicted_latent_bandgap_eV,stage1_score,energy_above_hull,is_dark_matter
mp-531053,Zn(FeO2)2,Tier 1 (Standard),1.3886371,1.2446972128704337,0.034551829404762,True
mp-1044316,TiMnZn(PO4)3,Tier 1 (Standard),1.4295977,1.2442245141179813,0.043222699807107,True
mp-558960,Dy2Tc2O7,Tier 2 (Exotic),1.3411695,1.244120841956679,0.02412040045454,True
mp-1209432,Pr3AsBr3,Tier 2 (Exotic),1.2439599,1.243959903717041,0.0,True
mp-18842,TlV4O10,Tier 1 (Standard),1.3885323,1.2436784703103478,0.034773842999989,True
mp-1228897,Ba10Nd4Y(MoO6)5,Tier 3 (Refractory),1.2431012,1.2431012392044067,0.0,True
mp-541324,Sr2ErGaCu2O7,Tier 2 (Exotic),1.3395483,1.243035688893675,0.024016219230771,True
mp-34713,Na(Pr2Se3)4,Tier 2 (Exotic),1.2528878,1.2427368236691478,0.002700699670342,True
mp-765569,Sb3(WO3)20,Tier 3 (Refractory),1.3942587,1.2425401163607952,0.036272230090368,True
mp-771895,Li2Ni3WO8,Tier 3 (Refractory),1.3763629,1.2419428374893013,0.032554418214284,True
mp-769472,Li11(NiO4)2,Tier 1 (Standard),1.4401919,1.241849398796398,0.045906491349203,True
mp-1219738,PrSm3S4,Tier 2 (Exotic),1.2417471,1.2417471408843994,0.0,True
mp-1217590,TbCe3O8,Tier 2 (Exotic),1.410905,1.2415954906632223,0.040000215572918,True
mp-1222701,LaTmS2,Tier 2 (Exotic),1.241567,1.2415670156478882,0.0,True
mp-1215482,YbAgS2,Tier 2 (Exotic),1.2841368,1.2405933972983576,0.011302891249999,True
mp-26922,Ni5(PO4)4,Tier 1 (Standard),1.4491153,1.2403861240959424,0.048013008500007,True
mp-1191097,Ce4S3NCl3,Tier 2 (Exotic),1.254017,1.2398478220581304,0.003766342727278,True
mp-1105718,NiBiO3,Tier 1 (Standard),1.3219702,1.2398010158909798,0.020718875250013,True
mp-1223375,La5Cu6S7O4,Tier 2 (Exotic),1.2736794,1.2396479238184999,0.008906336628785,True
mp-25922,Mo2PO8,Tier 3 (Refractory),1.3611026,1.2393395157567926,0.02981971306815,True
mp-861852,Zn5Co19O32,Tier 1 (Standard),1.2390869,1.2390868663787842,0.0,True
mp-17429,KHfPdF7,Tier 1 (Standard),1.2389604,1.2389603853225708,0.0,True
mp-781754,Li3Mn2(P2O7)2,Tier 1 (Standard),1.2551765,1.2386557482969196,0.00438737641304,True
mp-754806,Ni5O6,Tier 1 (Standard),1.4105595,1.2382680966813742,0.040714679545455,True
mp-1219178,Sm3ErS4,Tier 2 (Exotic),1.267592,1.2375063015694567,0.007911497500001,True
mp-542449,Sc5Cl8,Tier 1 (Standard),1.2362852,1.2362852096557617,0.0,True
mp-1078868,Sr2MgReO6,Tier 3 (Refractory),1.2356875,1.235687494277954,0.0,True
mp-556821,RbEu(SO4)2,Tier 2 (Exotic),1.2356076,1.235607624053955,0.0,True
